employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
75009,5,8,Bachelor's,0,2,1,50,5.0,11,0,0,71,0
17876,5,4,Master's & above,0,0,1,37,4.0,4,0,0,71,0
36924,8,7,Bachelor's,1,2,1,40,3.0,11,0,0,80,0
50408,7,12,Bachelor's,1,2,1,30,3.0,3,1,0,49,0
18013,5,11,Master's & above,0,2,1,56,3.0,12,0,0,73,0
24104,1,11,Bachelor's,1,2,1,20,4.0,2,1,0,60,0
32083,7,17,Bachelor's,0,2,1,31,3.0,8,0,0,48,0
38330,5,6,Bachelor's,1,2,1,40,3.0,12,1,0,65,0
33690,2,14,Bachelor's,1,0,1,30,1.0,6,0,0,50,0
73161,4,14,Bachelor's,1,0,1,39,3.0,5,1,0,62,0
13596,0,24,Bachelor's,1,0,2,26,2.0,2,0,0,85,0
45709,7,24,Bachelor's,0,0,1,29,3.0,1,0,0,49,0
32709,6,14,Master's & above,1,2,1,40,3.0,5,1,0,84,0
26599,7,7,Bachelor's,1,0,2,27,3.0,1,1,0,47,0
32656,7,10,Bachelor's,1,0,1,40,4.0,7,0,0,52,0
17673,7,28,Master's & above,1,0,1,50,4.0,17,1,0,47,1
3113,7,21,Bachelor's,1,2,1,25,3.0,3,0,0,53,0
9150,0,14,Bachelor's,0,0,1,28,3.0,1,1,0,80,0
14107,7,0,Master's & above,1,2,1,35,4.0,2,1,0,52,0
58747,6,18,Bachelor's,1,0,1,34,5.0,5,0,0,87,0
3342,4,4,Master's & above,0,2,1,31,3.0,3,1,0,58,0
77981,1,14,Bachelor's,1,0,1,27,3.0,1,1,1,58,1
16502,7,14,Bachelor's,1,2,1,27,3.0,1,0,0,61,1
73729,5,1,Bachelor's,1,0,1,30,4.0,6,1,0,75,0
45624,0,24,Bachelor's,1,0,1,30,3.0,7,1,0,84,1
75677,4,14,Bachelor's,0,0,1,50,5.0,5,1,0,59,0
24040,8,14,Master's & above,1,0,1,34,5.0,7,1,0,78,1
68082,7,11,Master's & above,0,2,1,41,1.0,12,0,0,52,0
51786,7,7,Bachelor's,1,2,1,32,4.0,6,0,0,44,0
77577,7,31,Bachelor's,1,0,1,50,3.0,14,0,0,52,0
54782,7,11,Master's & above,1,2,1,38,4.0,2,1,0,49,1
52368,7,19,Bachelor's,1,2,2,29,1.0,5,0,0,51,0
75103,7,23,Bachelor's,1,2,1,35,4.0,3,1,0,53,0
7520,0,11,Bachelor's,1,0,1,25,3.0,2,1,0,91,0
59147,7,14,Bachelor's,1,2,1,30,3.0,3,0,0,58,1
53092,8,11,Bachelor's,1,1,1,47,3.0,7,0,0,79,0
34564,4,28,Master's & above,1,2,1,35,2.0,7,0,0,53,0
66013,7,11,Bachelor's,1,2,2,25,3.0,2,0,0,53,0
77135,6,14,Bachelor's,1,0,1,36,4.0,8,0,0,82,0
44575,3,31,Bachelor's,1,0,1,29,3.0,1,0,0,65,1
47498,4,2,Master's & above,0,2,1,42,5.0,11,1,0,60,1
20798,2,12,Bachelor's,0,2,1,28,2.0,6,0,0,52,0
69094,7,11,Bachelor's,1,2,1,39,1.0,9,0,0,49,0
22261,5,31,Master's & above,1,2,1,32,5.0,3,1,0,69,1
9589,7,24,Bachelor's,0,0,1,31,3.0,1,0,0,51,0
62658,7,11,Bachelor's,0,2,1,20,3.0,1,0,0,55,0
21628,0,3,Bachelor's,1,0,1,34,3.0,8,0,0,85,0
68484,5,11,Master's & above,1,2,2,46,4.0,3,1,0,74,0
44523,2,11,Master's & above,1,0,1,47,3.0,7,0,0,44,0
35420,4,11,Bachelor's,0,0,1,44,4.0,13,0,0,53,0
43923,0,5,Bachelor's,1,2,1,31,4.0,4,1,0,86,0
64109,8,18,Bachelor's,0,2,1,23,3.0,1,0,0,77,0
41983,4,11,Bachelor's,0,2,1,33,3.0,5,0,0,57,0
21440,7,24,Bachelor's,1,0,1,41,3.0,12,1,0,52,0
51256,1,11,Master's & above,1,0,1,60,5.0,17,0,0,59,0
66635,4,6,Bachelor's,1,0,1,31,5.0,4,1,0,63,1
16027,4,18,Bachelor's,0,0,1,37,3.0,11,0,0,57,0
46020,0,31,Bachelor's,1,2,2,39,3.0,4,1,0,83,0
28509,7,31,Bachelor's,1,0,1,40,5.0,8,1,0,54,0
33587,7,20,Master's & above,1,2,1,42,5.0,4,0,0,50,0
21387,4,4,Bachelor's,1,0,1,35,4.0,6,1,0,57,1
55927,4,4,Master's & above,0,2,1,41,4.0,6,1,0,62,0
60763,5,11,Bachelor's,0,0,1,23,3.0,2,0,0,73,0
53167,7,7,Bachelor's,1,2,2,31,3.0,4,0,0,50,0
32672,0,14,Master's & above,1,0,1,42,2.0,19,0,0,79,0
48785,7,14,Bachelor's,1,0,3,29,4.0,2,0,0,49,0
51444,2,4,Bachelor's,0,0,1,30,3.0,1,1,0,54,0
75778,4,11,Bachelor's,1,2,1,41,4.0,6,1,0,63,0
14141,7,31,Bachelor's,0,0,1,40,3.0,2,1,0,90,1
17894,7,11,Bachelor's,1,1,1,34,5.0,5,0,0,49,0
54380,7,28,Bachelor's,0,0,1,31,4.0,2,0,0,46,0
51892,8,11,Bachelor's,1,0,1,27,5.0,2,0,0,86,1
3625,5,13,Bachelor's,1,2,4,30,3.0,2,0,0,72,0
38771,5,15,Bachelor's,0,0,1,27,4.0,4,1,0,72,1
18959,8,6,Bachelor's,1,0,4,36,4.0,7,0,0,82,0
21137,8,11,Bachelor's,1,2,1,35,4.0,6,0,0,77,0
26097,7,17,Master's & above,1,0,1,34,5.0,7,1,0,51,1
38052,5,27,Master's & above,1,2,1,37,5.0,3,0,1,92,1
41746,4,14,Bachelor's,0,2,1,27,3.0,1,1,0,58,0
72744,5,11,Master's & above,1,2,2,47,3.0,5,1,0,71,0
5461,0,32,Bachelor's,1,0,1,28,3.0,1,1,0,83,0
15227,5,19,Master's & above,0,0,1,40,5.0,5,0,0,68,0
66874,7,19,Bachelor's,0,0,1,30,3.0,1,0,0,50,0
42068,4,0,Master's & above,1,0,1,38,5.0,9,1,0,61,0
54825,7,17,Bachelor's,1,0,1,30,3.0,2,0,0,47,0
77709,7,2,Bachelor's,0,2,1,28,5.0,3,0,0,46,0
43712,5,14,Bachelor's,1,2,2,28,5.0,4,1,0,67,0
74783,4,21,Bachelor's,1,2,1,35,4.0,7,0,0,58,0
19318,0,14,Bachelor's,1,0,1,32,3.0,8,0,0,89,1
12096,7,18,Master's & above,1,2,1,36,5.0,8,0,0,50,0
5102,4,31,Bachelor's,1,2,1,24,3.0,1,1,0,56,0
29521,8,6,Bachelor's,1,0,1,27,3.0,4,1,0,78,0
36371,1,20,Master's & above,1,0,2,34,3.0,7,0,0,56,0
51164,8,5,Bachelor's,0,0,1,31,4.0,4,1,1,78,0
17812,8,19,Bachelor's,0,2,1,30,4.0,2,0,0,77,0
7606,8,21,Bachelor's,0,0,2,30,3.0,7,1,1,76,0
50593,1,15,Bachelor's,1,2,1,31,3.0,1,1,0,56,0
73735,0,17,Bachelor's,1,0,1,30,5.0,3,1,0,84,0
29313,1,14,Bachelor's,1,2,1,28,3.0,2,0,0,57,0
40262,8,11,Bachelor's,1,0,2,28,3.0,5,0,0,81,0
36904,7,6,Bachelor's,1,0,1,29,3.0,2,0,0,51,0
62552,7,14,Master's & above,1,2,1,46,3.0,11,1,0,51,0
63285,8,21,Bachelor's,1,2,1,31,5.0,4,1,0,80,0
74203,5,29,Bachelor's,1,2,1,28,1.0,4,0,0,72,0
75344,7,28,Master's & above,1,0,1,31,4.0,6,0,0,50,0
74018,2,31,Master's & above,0,0,1,37,3.0,9,0,0,48,0
34985,8,29,Bachelor's,0,0,2,34,5.0,8,0,0,88,1
35930,5,11,Bachelor's,1,2,1,25,5.0,3,1,0,70,1
6708,4,14,Master's & above,1,2,1,40,4.0,4,1,0,57,0
5515,4,4,Master's & above,1,0,1,43,3.0,7,1,0,56,1
53373,4,4,Bachelor's,1,0,1,36,1.0,5,0,0,56,0
69316,3,21,Bachelor's,1,2,1,29,3.0,3,0,0,63,0
41009,1,4,Bachelor's,1,2,2,35,3.0,2,0,0,56,0
50622,0,17,Master's & above,1,0,1,34,5.0,2,0,0,84,0
30106,7,7,Bachelor's,0,2,1,32,4.0,4,1,0,45,0
45157,2,28,Bachelor's,1,0,1,27,3.0,1,1,0,50,0
23523,8,18,Bachelor's,1,2,1,29,3.0,5,0,0,75,0
74349,7,29,Bachelor's,1,2,1,34,1.0,4,0,0,48,0
70543,5,11,Master's & above,1,2,1,37,5.0,7,1,0,70,0
42245,5,14,Bachelor's,0,0,1,33,3.0,3,1,0,73,0
34405,5,11,Master's & above,0,0,1,33,5.0,4,1,0,67,0
4134,7,7,Bachelor's,0,0,1,39,1.0,8,0,0,45,0
23599,8,15,Master's & above,1,0,1,34,4.0,7,0,0,82,0
942,8,14,Bachelor's,1,0,2,32,4.0,6,0,0,84,0
5281,7,31,Master's & above,1,0,1,34,4.0,6,0,0,53,0
197,1,3,Bachelor's,1,0,1,29,5.0,6,1,0,61,0
37574,7,11,Bachelor's,1,2,2,28,1.0,2,0,0,50,0
26773,8,31,Bachelor's,0,0,1,28,2.0,5,0,0,75,0
70034,5,11,Master's & above,0,0,2,35,3.0,9,0,0,70,0
40565,8,11,Bachelor's,0,0,2,40,3.0,3,0,0,86,0
17193,7,11,Bachelor's,0,0,2,27,2.0,4,0,0,54,0
76550,5,14,Bachelor's,0,0,3,26,3.0,3,1,0,70,0
53841,4,11,Bachelor's,1,2,1,43,2.0,12,0,0,57,0
28314,1,18,Bachelor's,1,0,1,23,3.0,1,0,0,61,0
30196,0,17,Bachelor's,1,2,1,29,5.0,6,1,0,84,0
29757,7,5,Bachelor's,1,2,1,43,3.0,15,0,0,51,0
6073,7,11,Bachelor's,1,2,3,27,4.0,4,0,0,49,0
9863,5,19,Bachelor's,1,2,1,26,4.0,4,1,0,70,0
34306,5,4,Bachelor's,0,0,1,31,5.0,5,1,0,72,0
34041,4,31,Bachelor's,1,0,1,40,4.0,11,0,0,58,0
21356,4,6,Bachelor's,0,0,2,39,5.0,12,1,0,55,0
29540,4,11,Bachelor's,0,0,2,30,3.0,6,0,0,57,0
51669,8,11,Master's & above,1,0,1,47,4.0,4,1,0,77,0
33825,7,8,Bachelor's,1,0,1,34,4.0,7,1,0,48,1
6254,4,11,Bachelor's,0,0,1,33,4.0,9,0,0,64,0
11645,7,15,Master's & above,1,0,1,41,5.0,7,0,0,51,0
3231,8,31,Bachelor's,1,0,1,29,1.0,4,0,0,80,0
7030,0,24,Bachelor's,0,0,1,32,3.0,4,0,0,86,0
54198,5,31,Master's & above,0,0,1,47,5.0,9,0,0,68,0
62293,4,19,Bachelor's,1,0,1,35,4.0,3,0,0,65,0
25312,8,14,Bachelor's,1,0,1,27,4.0,2,0,0,75,0
75610,0,25,Bachelor's,1,0,1,29,1.0,3,0,0,81,0
16518,7,12,Bachelor's,1,2,2,36,3.0,9,0,0,49,0
42747,7,6,Bachelor's,1,0,2,35,1.0,8,0,0,39,0
67980,5,11,Bachelor's,0,2,2,34,3.0,2,0,0,70,0
53630,7,15,Master's & above,0,2,1,34,4.0,5,1,1,94,1
72423,4,11,Master's & above,1,2,1,39,3.0,2,1,0,60,0
73022,7,17,Bachelor's,1,0,1,26,5.0,2,1,0,51,0
63976,4,24,Bachelor's,0,2,1,30,5.0,4,0,0,56,0
60761,4,7,Bachelor's,0,0,1,31,4.0,2,0,0,62,0
57228,2,11,Master's & above,1,2,1,44,5.0,6,0,0,48,0
14912,7,0,Bachelor's,1,0,1,38,3.0,4,1,0,49,0
22725,8,18,Bachelor's,1,0,1,40,1.0,3,0,0,78,0
18981,3,11,Master's & above,1,2,1,50,5.0,6,0,1,58,0
50845,5,10,Master's & above,1,0,1,44,3.0,12,0,0,70,0
11800,5,11,Below Secondary,0,0,1,23,1.0,2,0,0,69,0
16351,7,31,Master's & above,0,2,1,36,1.0,2,0,0,53,0
75881,0,19,Bachelor's,1,2,1,25,1.0,4,0,0,80,0
73200,4,20,Bachelor's,1,2,1,34,5.0,4,1,0,58,0
17833,0,28,Bachelor's,1,2,1,28,3.0,1,0,0,85,0
58338,0,0,Bachelor's,1,0,2,30,5.0,6,1,0,81,0
40187,5,3,Bachelor's,1,2,1,35,1.0,8,0,0,67,0
70193,0,30,Bachelor's,1,2,1,33,4.0,8,0,0,86,0
27188,0,4,Master's & above,1,0,1,30,3.0,4,1,0,80,0
24291,0,18,Bachelor's,1,0,2,27,5.0,3,1,0,85,0
43676,5,11,Bachelor's,1,0,4,29,3.0,1,0,0,68,0
52231,4,11,Bachelor's,1,2,1,43,3.0,3,0,0,58,0
34241,0,14,Bachelor's,1,0,2,28,3.0,5,1,0,86,0
76661,5,8,Bachelor's,1,0,1,31,5.0,3,1,0,68,0
50595,4,11,Bachelor's,0,0,1,43,4.0,12,0,0,58,0
67673,4,28,Bachelor's,0,0,1,35,5.0,9,1,0,60,0
10547,7,29,Bachelor's,1,0,2,35,3.0,9,0,0,49,0
73405,4,11,Master's & above,1,0,1,50,3.0,8,1,0,59,0
73114,2,8,Bachelor's,0,0,1,26,4.0,3,0,0,50,0
22572,7,19,Bachelor's,1,2,1,32,3.0,5,1,0,52,0
62923,4,4,Master's & above,0,0,1,38,5.0,2,1,1,93,1
57235,7,18,Bachelor's,1,0,1,22,4.0,2,0,0,51,0
22300,2,12,Bachelor's,1,0,1,28,3.0,1,1,0,52,0
24090,5,5,Bachelor's,0,2,1,37,3.0,9,0,0,69,0
57298,0,11,Bachelor's,1,2,2,54,3.0,9,1,0,86,0
25629,7,2,Bachelor's,1,2,1,36,3.0,8,0,0,51,0
71339,8,30,Bachelor's,1,0,1,35,3.0,8,0,0,78,0
54714,0,21,Bachelor's,1,0,1,39,3.0,4,1,0,85,0
7390,4,3,Bachelor's,0,2,1,31,5.0,4,1,0,63,0
9563,4,24,Bachelor's,1,0,2,38,3.0,7,1,1,60,0
39107,7,14,Bachelor's,1,2,1,28,1.0,2,0,0,48,0
19445,7,31,Bachelor's,1,2,3,26,2.0,3,0,0,52,0
42636,7,18,Bachelor's,1,2,1,29,3.0,1,0,0,54,0
32557,0,12,Bachelor's,1,2,1,30,3.0,4,0,0,84,0
43396,4,14,Bachelor's,1,2,2,37,2.0,4,1,0,57,1
24414,6,11,Bachelor's,1,0,1,25,3.0,1,1,0,76,0
63237,8,14,Bachelor's,1,1,1,26,4.0,2,0,0,82,0
32838,8,31,Bachelor's,1,0,1,31,4.0,4,0,0,78,0
23003,8,5,Bachelor's,0,0,1,38,5.0,7,1,0,82,0
45198,7,4,Bachelor's,1,0,1,39,4.0,9,0,0,49,0
40376,7,28,Bachelor's,1,0,1,30,5.0,4,0,1,50,0
60176,5,6,Master's & above,0,0,1,34,5.0,8,1,0,67,0
67652,5,15,Master's & above,0,0,1,33,3.0,5,1,0,72,0
15476,8,11,Bachelor's,0,0,1,29,5.0,3,1,0,78,0
55811,4,11,Bachelor's,1,2,1,28,4.0,2,1,0,61,0
15737,1,14,Bachelor's,1,2,1,24,3.0,1,0,0,56,0
10058,0,14,Bachelor's,1,0,2,26,4.0,2,1,0,87,0
73435,3,14,Bachelor's,1,2,1,34,5.0,4,0,0,64,0
51255,7,19,Bachelor's,1,2,1,35,3.0,7,0,0,46,0
70060,8,4,Master's & above,1,0,1,43,3.0,14,0,0,79,0
51473,7,6,Bachelor's,1,0,1,34,1.0,8,0,0,39,0
71904,8,31,Master's & above,0,0,2,38,3.0,10,0,0,88,0
76080,4,31,Bachelor's,0,0,1,34,1.0,5,0,0,54,0
33357,4,14,Bachelor's,1,2,1,41,4.0,4,0,0,63,0
53502,1,31,Bachelor's,1,2,2,29,1.0,4,0,0,61,0
26409,4,11,Bachelor's,1,0,1,33,4.0,3,0,0,61,0
59608,7,11,Master's & above,0,0,1,41,4.0,5,1,0,48,0
28687,4,11,Master's & above,1,0,3,38,3.0,11,0,0,57,0
34312,5,11,Master's & above,0,0,2,54,4.0,23,0,0,66,0
11438,7,4,Master's & above,0,2,2,34,2.0,8,0,0,49,0
11794,6,11,Bachelor's,1,0,2,26,5.0,3,1,0,87,0
48756,4,31,Bachelor's,0,2,1,35,5.0,3,0,0,59,0
35873,3,11,Below Secondary,1,0,1,28,3.0,1,0,0,62,0
13970,4,26,Master's & above,1,0,1,36,3.0,4,0,0,60,0
49868,8,29,Bachelor's,1,0,1,45,3.0,15,0,0,87,0
25261,5,31,Master's & above,1,0,1,38,4.0,7,0,0,66,0
44536,7,19,Bachelor's,0,0,1,26,2.0,4,0,0,47,0
55550,0,19,Bachelor's,1,2,1,31,3.0,4,0,0,85,0
27989,0,27,Bachelor's,1,2,1,32,3.0,7,0,0,87,0
12598,0,30,Bachelor's,1,2,1,29,4.0,4,0,0,78,0
32877,7,11,Bachelor's,0,0,1,40,3.0,12,0,0,50,0
30682,8,11,Bachelor's,1,1,2,29,4.0,6,0,0,75,0
1829,0,20,Bachelor's,1,0,2,31,5.0,7,1,0,87,0
2177,1,7,Bachelor's,1,0,1,32,5.0,6,1,0,58,0
51771,4,8,Bachelor's,1,0,1,42,5.0,11,0,0,67,0
26026,5,6,Bachelor's,0,2,1,30,5.0,3,1,0,65,0
64977,5,7,Bachelor's,0,0,1,24,3.0,2,1,0,70,0
44585,7,23,Bachelor's,1,2,1,35,3.0,7,0,0,56,0
43562,8,29,Bachelor's,0,2,2,32,1.0,3,0,0,80,0
56287,2,11,Bachelor's,0,2,1,22,3.0,2,0,0,47,0
19100,7,11,Bachelor's,1,2,2,44,5.0,14,0,0,48,0
58203,4,7,Bachelor's,1,0,2,39,3.0,9,0,0,58,0
12504,8,31,Bachelor's,0,0,1,46,4.0,17,0,0,85,0
49126,8,6,Bachelor's,1,0,1,29,2.0,5,0,0,77,0
66469,1,31,Bachelor's,1,0,1,26,1.0,3,0,0,59,0
53350,4,15,Bachelor's,1,0,1,35,4.0,5,0,0,61,0
22031,5,11,Bachelor's,0,0,1,29,4.0,2,1,0,95,1
36185,8,4,Bachelor's,1,2,1,30,2.0,9,0,0,79,0
58415,7,31,Bachelor's,1,0,1,45,4.0,5,0,0,50,0
71763,7,6,Bachelor's,0,0,1,30,1.0,6,0,0,47,0
62742,1,25,Bachelor's,1,2,1,28,2.0,4,0,0,59,0
33619,8,11,Master's & above,1,2,1,46,5.0,10,1,0,76,0
41212,5,31,Bachelor's,1,2,1,27,2.0,2,0,0,69,0
40204,7,2,Bachelor's,1,2,1,34,2.0,5,0,0,47,0
59131,0,10,Bachelor's,1,2,2,32,5.0,3,1,0,86,0
12559,4,14,Bachelor's,0,0,1,35,5.0,10,0,0,63,0
30433,5,19,Bachelor's,1,0,1,36,4.0,3,1,0,66,0
13150,5,11,Master's & above,0,0,1,58,1.0,13,0,0,70,0
9616,1,24,Bachelor's,1,0,1,29,4.0,4,0,0,57,0
26563,5,11,Bachelor's,0,1,1,33,3.0,3,1,0,67,0
38331,4,7,Bachelor's,0,0,1,32,5.0,6,0,0,62,0
18651,3,14,Below Secondary,1,0,1,25,5.0,2,1,0,59,0
45004,5,4,Bachelor's,1,0,4,41,2.0,9,0,0,68,0
11892,5,3,Bachelor's,0,0,1,25,3.0,1,1,0,69,0
16859,0,11,Master's & above,1,0,1,50,1.0,7,0,1,79,0
26107,7,18,Bachelor's,1,0,1,30,1.0,7,0,0,53,0
22511,8,16,Bachelor's,1,2,1,28,3.0,1,0,0,81,0
22865,0,12,Master's & above,1,0,1,40,5.0,5,0,1,83,1
67467,1,11,Below Secondary,0,0,1,26,3.0,2,0,0,61,0
2268,8,4,Bachelor's,1,0,1,35,5.0,8,1,0,81,0
33517,7,31,Master's & above,1,0,1,37,3.0,7,1,0,52,0
27605,4,14,Master's & above,1,0,1,34,3.0,3,0,0,75,1
69349,4,32,Bachelor's,1,2,1,25,3.0,2,0,0,57,0
45496,7,11,Bachelor's,1,0,1,22,5.0,2,0,0,62,1
66262,5,11,Bachelor's,0,0,2,26,5.0,2,1,0,68,1
55425,8,11,Bachelor's,0,0,1,31,4.0,7,1,0,80,0
29543,1,11,Bachelor's,1,2,4,31,5.0,3,1,0,60,0
36547,0,17,Bachelor's,1,2,1,32,3.0,6,1,0,86,0
11205,7,10,Bachelor's,1,2,1,36,5.0,8,0,0,48,0
469,8,11,Bachelor's,0,2,1,57,3.0,19,0,0,81,0
44703,7,11,Bachelor's,0,2,1,42,4.0,9,0,0,51,0
14847,7,12,Bachelor's,1,0,1,28,3.0,3,0,0,48,0
43689,0,3,Bachelor's,1,2,2,33,4.0,3,1,0,86,0
72157,0,11,Bachelor's,1,2,1,41,3.0,3,0,0,86,0
74579,4,11,Below Secondary,1,0,2,26,3.0,1,0,0,61,0
51544,5,3,Bachelor's,0,0,1,32,5.0,5,0,1,84,1
5128,4,11,Bachelor's,1,0,1,48,3.0,8,0,0,57,0
37952,4,18,Master's & above,1,0,1,41,3.0,7,0,0,58,0
39914,8,11,Master's & above,1,0,1,31,5.0,4,1,0,82,0
74332,7,18,Bachelor's,1,0,1,37,4.0,5,0,0,54,0
42886,0,21,Bachelor's,1,0,1,30,1.0,4,0,0,84,0
53988,1,11,Below Secondary,1,0,1,26,5.0,2,1,0,60,0
49775,7,4,Bachelor's,1,2,1,44,5.0,11,0,0,42,0
66965,4,31,Bachelor's,0,2,1,44,3.0,10,0,0,60,0
70197,6,14,Master's & above,1,0,1,30,4.0,2,1,0,96,1
66210,4,14,Below Secondary,1,0,1,24,3.0,2,0,0,59,0
71008,7,19,Bachelor's,1,0,1,40,1.0,10,0,0,49,0
52132,8,2,Master's & above,1,0,1,32,3.0,5,0,0,80,0
72604,7,11,Bachelor's,1,2,1,40,5.0,7,0,0,53,0
66802,8,31,Below Secondary,0,0,2,24,4.0,3,1,0,78,0
55730,7,18,Bachelor's,1,0,1,45,4.0,15,0,0,64,1
8284,7,11,Bachelor's,0,0,1,34,5.0,5,0,0,60,1
69715,4,11,Bachelor's,0,0,1,58,4.0,18,1,0,60,0
36117,8,16,Bachelor's,1,2,1,35,3.0,7,0,0,82,0
56139,7,7,Bachelor's,1,0,1,24,4.0,2,0,0,51,0
15924,7,15,Bachelor's,1,0,1,35,2.0,8,0,0,48,0
41776,8,15,Bachelor's,1,2,1,31,1.0,2,0,0,81,0
25949,4,21,Bachelor's,1,0,1,33,3.0,5,0,0,60,0
51509,2,11,Master's & above,0,2,1,44,3.0,14,0,0,47,0
36936,7,20,Bachelor's,1,0,1,24,2.0,2,1,0,52,1
25572,5,11,Bachelor's,1,0,2,34,2.0,10,0,0,69,0
11337,7,14,Bachelor's,1,2,1,37,5.0,2,0,0,54,0
34965,4,18,Bachelor's,1,0,2,31,3.0,4,0,0,63,0
38318,5,10,Bachelor's,1,0,1,32,3.0,8,0,0,69,0
60969,4,11,Bachelor's,0,0,1,33,5.0,7,1,0,57,0
72765,4,11,Bachelor's,0,2,1,53,3.0,11,0,0,57,0
16951,4,14,Bachelor's,1,2,2,37,5.0,4,1,0,57,0
54416,7,6,Bachelor's,1,2,1,30,2.0,5,0,0,49,0
4585,0,6,Bachelor's,1,2,1,35,5.0,3,1,0,81,0
64140,8,2,Bachelor's,1,2,1,32,3.0,4,0,0,80,0
35746,4,6,Bachelor's,1,2,1,45,3.0,9,0,0,61,0
6587,5,4,Bachelor's,1,0,1,29,3.0,1,0,0,69,0
1901,7,28,Bachelor's,1,2,2,31,3.0,4,0,0,53,0
56849,8,6,Bachelor's,1,2,2,34,3.0,8,0,0,80,0
56233,0,14,Bachelor's,0,0,1,24,3.0,1,1,0,86,0
15844,4,22,Master's & above,0,0,1,31,5.0,7,1,0,59,0
1497,7,1,Master's & above,0,0,1,37,3.0,6,1,0,47,0
11488,7,31,Master's & above,1,0,1,42,3.0,12,0,0,48,0
59616,5,28,Master's & above,1,0,1,40,3.0,6,0,0,72,0
9002,4,11,Bachelor's,1,2,1,37,5.0,5,1,0,64,0
63753,4,14,Bachelor's,1,0,1,50,3.0,8,0,0,57,0
9192,4,13,Bachelor's,1,0,1,28,3.0,1,0,0,61,0
30143,2,11,Master's & above,0,1,1,57,3.0,13,0,0,53,0
23360,7,20,Master's & above,1,0,2,42,2.0,10,0,0,46,0
53301,4,11,Master's & above,1,2,1,34,3.0,8,0,0,61,0
29073,4,11,Bachelor's,0,2,1,34,5.0,8,1,0,54,0
36460,4,4,Bachelor's,1,0,1,29,3.0,1,0,0,62,0
